title,abstract,journal,date,authors,doi,category,search_query,source
Psychotic symptoms during pharmacological treatment of ADHD: clinical considerations and research needs.,"In this Personal View, we address key questions to support evidence-based prevention and management of psychotic symptoms that might occur during ADHD pharmacotherapy. We begin by examining evidence showing a significantly increased occurrence of psychotic disorders in individuals with ADHD, independent of ADHD medications (pooled relative risk, odds ratio, or hazard ratio=4·74, 95% CI 4·11-5·46). We then examine whether ADHD medications play a causal role, noting that current evidence does not support such a causal link, at least for methylphenidate. We explore how vulnerability to psychosis varies across individuals with ADHD. Regarding the different steps involved in prescribing ADHD medications, we discuss the importance of balancing potential risks-such as emergence of psychotic symptoms-against the demonstrated benefits of pharmacological treatment for ADHD. Next, we present strategies for screening individuals for vulnerability to psychosis before initiating ADHD medication. We then offer guidance on the clinical management of psychotic symptoms that might arise during ADHD pharmacotherapy, including considerations of dosage and medication type. Finally, we identify key research priorities in this area. Overall, this paper provides an empirical framework, grounded in evidence and clinical practice, to guide the next steps in the field.",The lancet. Psychiatry,2025-10-21,"['SamueleCortese', 'MiguelGarcia-Argibay', 'DominicOliver', 'ZhengChang', 'Luis CFarhat', 'Michael HBloch', 'Gonzalo Salazarde Pablo', 'HenrikLarsson', 'MarcoSolmi', 'Christoph UCorrell', 'PaoloFusar-Poli']",10.1016/S2215-0366(25)00248-2,adhd,ADHD,pubmed
"Promoting Collaboration Among Pediatrics, Education, and Law in a Preschooler With Co-occurring Attention-deficit Hyperactivity Disorder and Cerebral Palsy.","Marcus is a 4-year-old African-American boy with cerebral palsy, Gross Motor Function Classification System level 1, and attention-deficit hyperactivity disorder (ADHD), Combined Presentation who presents to Developmental-Behavioral Pediatrics clinic for evaluation because of preschool difficulties. He is very active, jumping up and down at circle time, bumping into classmates, and impulsively hitting other children when they take his toys. As a toddler, his cognitive and social-emotional skills were on track, and he received early intervention for language and motor delays. He qualified for an IEP and transitioned to a district-based inclusive preschool setting with speech therapy and adaptive physical education. Marcus spends the week with his grandparents, and they live in a school district that is well-resourced and has inclusive school and therapy settings. The teachers call parents or grandparents frequently to pick him up. In response to misbehavior, they also put him in a separate timeout area, away from the other children, with a 1:1 aide for the rest of the day. On 2 occasions, he was strapped into a therapy chair for nonambulatory children after biting or hitting another child. Because he does well with 1:1 support, the school has switched him to a special day class with smaller class size, comprised primarily of autistic preschoolers who are minimally verbal. Marcus' parents have just started parent training in behavior management for ADHD after struggling to find a therapist that was covered by their insurance. His mother noticed while volunteering in his original class that other children with similar behavior were not sent home or transferred to a special education class. They are upset with the transfer to the more restrictive environment, but they are worried if they speak up that the district will send him to a less resourced school in the district where the family, rather than grandparents, reside. How would you advise the family to proceed?",Journal of developmental and behavioral pediatrics : JDBP,2025-10-20,"['IreneLoe', 'AdiahaSpinks-Franklin', 'DaneyEspiritu', 'William SKoski', 'Elizabeth ADiekroger', 'Jason MFogler']",10.1097/DBP.0000000000001431,adhd,ADHD,pubmed
Are prediction error modifications domain specific in autism but domain general in ADHD?,"In the last decade, several theories have proposed explanations of autism spectrum disorder (ASD) based on the Bayesian Brain hypothesis. Research on repetition suppression suggests that neural correlates of prediction errors in ASD might be domain specific with larger differences for faces than for objects. Contrastingly, research assessing mismatch negativity in attention-deficit/hyperactivity disorder (ADHD) indicates domain-generally modified prediction errors. Therefore, we captured neural correlates of prediction errors to colours and emotions in adults with ADHD or ASD to assess domain specificity of prediction error modifications. We used a multi-feature roving paradigm where we assessed predictive processes regarding unattended, task-irrelevant faces. We extracted task specific precision-weighted prediction errors and prediction strength for emotions and colours of the faces separately using a generative model, specifically a Hierarchical Gaussian Filter. While we found neural correlates of colour precision-weighted prediction errors and prediction strength as well as emotion prediction strength in the pooled sample regardless of group, we did not find any differences in neural correlates of emotion or colour precision-weighted prediction errors or prediction strength between our groups. These results suggest preserved neural correlates of precision-weighted prediction errors in ASD and ADHD for low-level visual features and potentially complex social information.","Imaging neuroscience (Cambridge, Mass.)",2025-10-20,"['Irene SPlank', 'AnnaYurova', 'AlexandraPior', 'JuliaNowak', 'Afton MBierlich', 'BorisPapazov', 'ZhuanghuaShi', 'Christine MFalter-Wagner']",10.1162/IMAG.a.942,adhd,ADHD,pubmed
"Effect of Tirzepatide in an Adolescent With Early-Onset Obesity, Hyperphagia, and Type 2 Diabetes.","Early-onset severe obesity is rare and largely treatment-resistant to standard measures. Etiologies include syndromic disorders (Prader-Willi, Bardet-Biedl and Alström syndromes), monogenic defects of appetite-regulating pathways - most significantly melanocortin-4-receptor (MC4R) deficiency, but also leptin receptor (LEPR), pro-opiomelanocortin (POMC), and secondary hypothalamic injury, most commonly craniopharyngiomas. Most childhood obesity, however, is polygenic, arising from interactions of environmental and genetic factors. In many patients, no clear etiology is identified. Treatment remains challenging, particularly if hyperphagia and reduced satiety are predominant presenting features. We describe the case of a 19-year-old male with a history of autism spectrum disorder, attention-deficit hyperactivity disorder (ADHD), type 2 diabetes mellitus (T2DM) and morbid obesity, who showed a clinically significant response to tirzepatide therapy following failed conventional interventions. This case highlights the potential role of dual incretin therapy in adolescents with severe early-onset obesity and hyperphagia, even in the absence (based on present knowledge) of identifiable hypothalamic or genetic pathology.",Cureus,2025-10-20,"['Bakht NoorKhurshid', 'UkashaMoazzam', 'IoannisDimitropoulos']",10.7759/cureus.94770,adhd,attention deficit hyperactivity disorder,pubmed
Autism spectrum disorder-risk genes have convergent effects on transcription and neuronal firing patterns in primary neurons.,"Autism spectrum disorder (ASD) is a highly heterogenous neurodevelopmental disorder with numerous genetic risk factors. Notably, a disproportionate number of risk genes encode transcription regulators including transcription factors and proteins that regulate chromatin. Here, we test the function of nine such ASD-linked transcription regulators by depleting them in primary cultured neurons. We then define the resulting gene expression disruptions using RNA sequencing and test effects on neuronal firing using multielectrode array recordings. We identify shared gene expression signatures across many ASD-risk genes that converge on the disruption of critical synaptic genes. Fitting with this, we detect robust disruptions to neuronal firing throughout neuronal maturation. Together, these findings provide evidence that the loss of multiple ASD-linked transcriptional regulators disrupts transcription of synaptic genes and has convergent effects on neuronal firing that may contribute to enhanced ASD risk.",Genome research,2025-10-21,"['AlekhParanjapye', 'RiliAhmad', 'StevenSu', 'Abraham JWaldman', 'Jennifer EPhillips-Cremins', 'ShuoZhang', 'EricaKorb']",10.1101/gr.280698.125,asd,autism spectrum disorder,pubmed
A Collaborative Approach to Assessment and (Non)Diagnosis of Autism.,This Viewpoint discusses the assessment and diagnosis of autism spectrum disorder.,JAMA pediatrics,2025-10-20,"['LesterLiao', 'MohammadZubairi']",10.1001/jamapediatrics.2025.3979,asd,autism spectrum disorder,pubmed
Phenotypic Description of Autism Spectrum Disorder and Psychopathology in Maternal 15q Duplication Syndrome.,"Maternal 15q11-q13 duplication syndrome (Dup15q) has been associated with 0.5% of all cases of autism spectrum disorder (ASD). There is no established protocol for the neuropsychiatric evaluation of individuals with this syndrome. This study aims to define a protocol incorporating gold standard assessments.
Six individuals with Dup15q underwent assessment of cognitive and adaptive functioning (Leiter-3, Adaptive Behavior Assessment System-Second Edition), autistic traits (Autism Diagnostic Observation Schedule-2 [ADOS-2], Autism Diagnostic Interview-Revised [ADI-R], Social Communication Questionnaire, Social Responsiveness Scale, Repetitive Behaviors Scale-R), co-occurring psychopathology (Kiddie Schedule for Affective Disorders and Schizophrenia, Child Behavior Checklist, Swanson, Nolan, and Pelham-Forth Edition, Sleep Disturbance Scale for Children), and family functioning (Parenting Stress Index-Short Form, PedsQL). Parents were required to fill the Symptom Checklist 90 (SCL-90) and Autism-Spectrum Quotient (AQ) to gather information about their psychiatric co-occurrences and autistic traits. A molecular analysis was performed to confirm the genetic alteration.
Two siblings inherited the duplication through maternal transmission, whereas 4 individuals had a de novo maternal duplication. No participant exhibited preserved cognitive abilities; 4 of 5 showed below average adaptive functioning and 2 of 6 received a diagnosis of ASD. ADOS-2 revealed greater difficulties in the Social Affect domain compared with the Repetitive and Restricted Behaviors domain (p < 0.05), findings confirmed by ADI-R (p < 0.05). K-SADS indicated clinical scores in 5 individuals, with anxiety disorder in 3 participants. High levels of parental stress and a poor quality of life were reported. The mother carrier of the duplication showed clinical scores on the ""Positive Symptom Total"" of the SCL-90 and on the AQ.
Individuals with an in tandem 15q-11q13 duplication seems to exhibit cognitive and adaptive difficulties along with psychiatric co-occurrences and autistic traits. Parents, with or without the duplication, may experience psychopathological difficulties and impaired family functioning.",Journal of developmental and behavioral pediatrics : JDBP,2025-10-20,"['IlariaVenezia', 'SaraPassarini', 'SilviaGuerrera', 'MassimoApicella', 'ViolaAlesi', ""GemmaD'Elia"", 'EsterSallicandro', 'PieraBontempo', 'AndreaBartuli', 'LorenzoSinibaldi', 'StefanoVicari', 'GiovanniValeri']",10.1097/DBP.0000000000001428,asd,autism spectrum disorder,pubmed
Comparing Autistic and Non-Autistic Older Adults' Fall-Related Hospitalization Care and Outcomes.,,Journal of general internal medicine,2025-10-21,"['MadisonBlake', 'MelicaNikahd', 'J MadisonHyer', 'Brian WPatterson', 'Bethany JWolf', 'LaurenBishop', 'Brittany NHand']",10.1007/s11606-025-09933-5,asd,autism,pubmed
Transition From Children's to Adults' Healthcare for Youth With (Genetic) Intellectual Disabilities: An ERN-ITHACA Guideline.,"For young people with rare genetic neurodevelopmental disorders associated with intellectual disabilities, the transfer from paediatric to adult healthcare providers is often complicated. The European Reference Network ERN-ITHACA (Intellectual disability, TeleHealth, Autism and Congenital Anomalies) on Rare Congenital Malformations and Rare Intellectual Disability aims to improve this transition through the development of a guideline.
Population-specific recommendations for the optimal transition to adult healthcare were developed by an interdisciplinary consortium, representing clinical, scientific and lived experience experts from nine European countries. Recommendations of the 2016 National Institute for Health and Care Excellence (NICE) guideline 'Transition From Children's to Adults' Services for Young People Using Health or Social Care Services' (NG43) were adapted, based on a literature review, expert opinion and lived experiences gathered through a survey, focus groups and discussions with self-advocates. A consensus meeting was held in Gdańsk, Poland, in October 2024.
NICE guideline recommendations were adopted or adapted to the target population where necessary. New recommendations were formulated regarding the involvement of and assistance for young people and their families/caregivers, the coordination of interdisciplinary care, the role of centres of expertise, recommended interventions and psychosocial support.
Planned, coordinated, specialised, individualised and interdisciplinary healthcare is required to support young people with (genetic) intellectual disabilities. Active collaboration between healthcare providers, researchers and individuals with lived experience is essential both to improve current healthcare and to build a stronger evidence base for successful transition interventions going forward.",Journal of intellectual disability research : JIDR,2025-10-21,"['Mirthe JKlein Haneveld', 'KatarzynaŚwieczkowska', 'TomaszGrybek', 'KingaLabunets', 'Thérèse A M Jvan Amelsvoort', 'Maria FBedeschi', 'ClaireBehan', 'AndreasDufke', 'JulietteDupont', 'Charlotte M WGaasterland', 'LiviaGaravelli', 'Sissel BHelverschou', 'SusanMcAnallen', 'Katarzyna AMilska-Musa', 'AnneLoesvan Staa', 'IoanaStreață', 'Connie T R MStumpel', 'FedericaTamburrino', 'MaryVasseghi', 'KleaVyshka', 'Jolanta MWierzba', 'NoneNone', 'Agnies Mvan Eeghen']",10.1111/jir.70049,asd,autism,pubmed
Familial Molecular Burden in Autism Spectrum Disorder: A Next-Generation Sequencing Study of Polish Affected Families.,"Autism spectrum disorder (ASD) is a heritable neurodevelopmental condition with a complex genetic architecture. Dissecting the interplay between inherited variants and high-impact de novo variants is critical for understanding its etiology. We conducted a family-based study involving 42 families with ASD (139 individuals). Using a targeted next-generation sequencing (NGS) panel of 236 genes, we identified and characterized rare inherited and de novo variants in affected probands, parents, and unaffected siblings. Our analysis revealed a complex genetic landscape marked by diverse inheritance patterns. De novo variants were predominantly observed in individuals with atypical autism, while biparental (homozygous) inheritance was more common in Asperger syndrome. Maternally inherited variants showed significant enrichment in intronic regions, pointing to a potential regulatory role. We also detected variants in several high-confidence ASD risk genes, including ",International journal of molecular sciences,2025-10-16,"['MonikaWawszczak-Kasza', 'JarosławRachuna', 'ŁukaszMadej', 'WojciechLewitowicz', 'PiotrLewitowicz', 'AgataHorecka-Lewitowicz']",10.3390/ijms26199672,asd,asperger syndrome,pubmed
Clinical and demographic characteristics of patients with autism spectrum disorder receiving general anesthesia with or without physical restraint: a single-center retrospective study.,"Perioperative management of patients with autism spectrum disorder (ASD) often requires premedication and physical restraint. This study examined the characteristics of patients with ASD who required special interventions for general anesthesia, particularly physical restraint during induction.
This retrospective study included patients diagnosed with ASD (autism, pervasive developmental disorder, Rett syndrome, Asperger's syndrome, or childhood disintegrative disorder) based on established criteria. All patients underwent general anesthesia at a hospital for patients with disabilities between April 2019 and March 2022. Data collected included clinical and demographic characteristics, perioperative management (premedication and anesthetic methods), surgical indications, physical restraint use, and induction time. A comparative analysis was conducted to identify differences in patient characteristics and induction times between physical restraint and no-restraint groups. Induction times were compared using Kaplan-Meier survival curves and log-rank tests.
A total of 136 procedures were performed on 102 patients. Median age was 23.3 years (interquartile range: 12.8-35.2), 79% of participants were male, and approximately 40% exhibited self-injurious or aggressive behaviors. Dental procedures were the most common indication for anesthesia. Midazolam and pentobarbital were the most frequently administered premedications. Patients requiring physical restraint were generally larger and more likely to exhibit self-injurious or aggressive behaviors than those who did not. However, induction times were not prolonged in the physical restraint group compared with the no-restraint group.
The characteristics identified in this study, such as large body size, self-injurious behavior, and aggressive behavior, may inform future research aimed at refining physical restraint use for patients with ASD.",Journal of anesthesia,2025-10-04,"['HidekazuIto', 'TatsuyaTsuji', 'KazuyaSobue']",10.1007/s00540-025-03592-w,asd,asperger syndrome,pubmed
Diagnostic challenges of autism spectrum disorder in women without intellectual or language impairments: a narrative review.,"Autism Spectrum Disorder (ASD) in adult women without intellectual or language impairments is frequently under-recognized, due to subtler manifestations, greater use of compensatory social strategies, and reliance on diagnostic frameworks developed from male presentations. Diagnostic overshadowing, where autistic traits are misattributed to other psychiatric conditions, further delays accurate identification. This narrative review aims to critically evaluate recent evidence on the diagnostic challenges of ASD in adult women without intellectual or language impairments, assess the performance of widely used screening tools, and present recommendations for improving gender-sensitive diagnostic practices. A structured literature search was applied (PubMed, PsycINFO, Scopus; January 2010-July 2025; English language) targeting studies on females aged ≥18 years without intellectual or language impairment. Diagnostic accuracy, screening tools, camouflaging, misdiagnosis, and psychosocial outcomes were examined. Original research, meta-analyses, and systematic reviews were included, and a narrative synthesis approach was chosen due to study heterogeneity. Female-typical presentations often include subtle social-communication differences, context-specific restricted interests, and higher camouflage levels than males, which decrease the sensitivity of standard screening tools. Women are more likely to receive prior psychiatric diagnoses before ASD is recognized, contributing to mental health burdens and poorer functional outcomes. Current adult ASD screening tools have limited capacity to detect female phenotypes. Integrating camouflaging assessment, nuanced developmental histories, and updated, gender-inclusive screening instruments is essential to improving diagnostic equity.",Journal of medicine and life,2025-09-29,"['AlexandraDolfi', 'CătălinaTudose']",10.25122/jml-2025-0118,asd,asperger syndrome,pubmed
